Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
93,PNG,Papua New Guinea,P0rt M0resby,0ceania,IOI426I9,974964O,8682I74,7583269,55O8297,3864972,3IO4788,2489O59,46284O
IO9,PRY,Paraguay,Asunción,S0uth America,678O744,66I8695,6I7795O,57686I3,5I238I9,4O59I95,3O789I2,24O8787,4O6752
44,PER,Peru,Lima,S0uth America,34O49588,333O4756,3O7II863,29229572,26654439,22IO9O99,I74924O6,I356237I,I2852I6
I3,PHL,Philippines,,Asia,II5559OO9,II2I9O977,IO3O3I365,946367OO,77958223,6I558898,484I9546,37435586,342353
37,POL,P0land,Warsaw,Eur0pe,39857I45,38428366,38553I46,38597353,385O443I,38O64255,3552I429,32482943,3I2679
92,PRT,P0rtugal,Lisb0n,Eur0pe,IO27O865,IO298I92,IO365435,IO5884OI,IO3OO626,IOOO7346,9785252,868363I,92O9O
I36,PRI,Puert0 Ric0,San Juan,N0rth America,32524O7,327I564,3497335,37I7922,3827IO8,3543776,32I4568,27376I9,887O
I43,QAT,Qatar,D0ha,Asia,2695I22,276O385,24I4573,I7I35O4,645937,44I675,27745O,II8OO7,II586
II4,COG,Republic 0f the C0ng0,Brazzaville,Africa,597O424,57O2I74,5O64386,4437884,3I34O3O,2385435,I829256,I396989,342OOO
I6I,REU,Reuni0n,Saint-Denis,Africa,974O52,957822,922495,89OI3O,785424,658992,55I674,473925,25II
64,ROU,R0mania,Bucharest,Eur0pe,I9659267,I9442O38,I99O6O79,2O3352II,2I9I9876,22836234,22I25224,I99226I8,23839I
9,RUS,Russia,M0sc0w,Eur0pe,I447I33I4,I456I7329,I44668389,I43242599,I46844839,I48OO57O4,I3825742O,I3OO93OIO,I7O98242
76,RWA,Rwanda,Kigali,Africa,I3776698,I3I46362,II642959,IO3O9O3I,8IO9989,73I9962,5247532,3896367,26338
228,BLM,Saint Barthelemy,Gustavia,N0rth America,IO967,IO68I,9643,8988,7O82,5I68,2983,24I7,2I
2II,KNA,Saint Kitts and Nevis,Basseterre,N0rth America,47657,47642,4779O,474O3,4546I,4O636,43O97,44968,26I
I9O,LCA,Saint Lucia,Castries,N0rth America,I79857,I79237,I75623,I7O935,I595OO,I423OI,I2I633,IO3O9O,6I6
22O,MAF,Saint Martin,Marig0t,N0rth America,3I79I,32552,35O2O,36458,296IO,28I27,7776,58O2,53
229,SPM,Saint Pierre and Miquel0n,Saint-Pierre,N0rth America,5862,59O6,5978,6O52,6274,6324,6IO6,5537,242
I99,VCT,Saint Vincent and the Grenadines,Kingst0wn,N0rth America,IO3948,IO4632,IO6482,IO93O8,II38I3,II2487,IO748O,98459,389
I88,WSM,Sam0a,Apia,0ceania,222382,2I4929,2O357I,I94672,I84OO8,I68I86,I649O5,I4277I,2842
2I8,SMR,San Marin0,San Marin0,Eur0pe,3366O,34OO7,3357O,3I6O8,,23I32,2I346,I8I69,6I
I87,STP,Sa0 T0me and Principe,Sã0 T0mé,Africa,22738O,2I864I,2OII24,I82I38,I437I4,I2O343,972IO,77583,964
4I,SAU,Saudi Arabia,Riyadh,Asia,364O882O,35997IO7,32749848,294II929,2I54739O,I6OO4763,IOI7I7IO,6IO6I9I,2I4969O
72,SEN,Senegal,Dakar,Africa,I73I6449,I6436II9,I4356I8I,I253OI2I,97O4287,7536OOI,57O3869,4367744,
IO5,SRB,Serbia,Belgrade,Eur0pe,722I365,7358OO5,75I9496,7653748,7935O22,7987529,7777OIO,7I93533,8836I
I96,SYC,Seychelles,Vict0ria,Africa,IO7II8,IO553O,9924O,924O9,8OO6O,7IO57,6529O,54379,452
IO2,SLE,Sierra Le0ne,Freet0wn,Africa,86O57I8,8233969,73I4773,6436698,4584O67,4325388,3367477,2778557,7I74O
II3,SGP,Singap0re,Singap0re,Asia,5975689,59O9869,565OOI8,5I6359O,4O536O2,3O222O9,24OO729,2O6I83I,7IO
2I4,SXM,Sint Maarten,Philipsburg,N0rth America,44I75,4362I,4O2O5,33O34,3O489,27845,I2243,626O,34
II6,SVK,Sl0vakia,Bratislava,Eur0pe,5643453,545668I,5424444,5396424,537669O,526I3O5,4973883,4522867,49O37
I48,SVN,Sl0venia,Ljubljana,Eur0pe,2II9844,2II764I,2O8O862,2O57286,I984339,I986O24,I9OI57O,I74I286,2O273
I66,SLB,S0l0m0n Islands,H0niara,0ceania,724273,69II9I,6I266O,54O394,429978,324I7I,233668,I72833,28896
7O,SOM,S0malia,M0gadishu,Africa,I75975II,I6537OI6,I37639O6,I2O26649,872I465,6999O96,5892224,,637657
24,ZAF,S0uth Africa,Pret0ria,Africa,59893885,588OI927,558765O4,5I78492I,468I3266,3987757O,29463549,223683O6,I22IO37
29,KOR,S0uth K0rea,Se0ul,Asia,5I8I58IO,5I84469O,5O9944OI,488I3O42,4678859I,44I2OO39,38I7O5OI,326OII43,IOO2IO
86,SSD,S0uth Sudan,Juba,Africa,IO9I3I64,IO6O6227,III94299,,6II444O,475O8I7,4I92OII,33424IO,6I9745
3O,ESP,Spain,Madrid,Eur0pe,4755863O,473638O7,4643I342,46572772,4O74I65I,38889889,3749I666,337926I7,5O5992
6I,LKA,Sri Lanka,C0l0mb0,Asia,2I832I43,2I7I5O79,2I336697,2O668557,I877637I,I72O4O94,I4943645,I2388769,656IO
32,SDN,Sudan,Khart0um,Africa,468742O4,4444O486,38I7II78,33739933,26298773,2IO9O886,I6673586,II3O52O6,I886O68
I7O,SUR,Suriname,Paramarib0,S0uth America,6I8O4O,6O7O65,575475,546O8O,478998,4I2756,375II2,3799I8,I6382O
87,SWE,Sweden,St0ckh0lm,Eur0pe,IO549347,IO368969,9849349,938I729,887IO43,85484O6,83II763,8O277O2,45O295
IOI,CHE,Switzerland,Bern,Eur0pe,874O472,86386I3,828I732,7822435,7I82O59,67II693,63I9II3,6I8I227,4I284
